nameofissuer	titleofclass	cusip	value	shrsorprnamt	investmentdiscretion	votingauthority	putcall
ISHARES TR	PHLX SEMICND ETF	464287523	544	3468 SH	SOLE	3468 0 0	N/A
ISHARES TR	RUS 1000 ETF	464287622	41189	297006 SH	SOLE	297006 0 0	N/A
ISHARES TR	RUS 1000 GRW ETF	464287614	125965	962365 SH	SOLE	962365 0 0	N/A
ISHARES TR	RUS 1000 VAL ETF	464287598	106663	960484 SH	SOLE	960484 0 0	N/A
ISHARES TR	RUS 2000 GRW ETF	464287648	12584	74815 SH	SOLE	74815 0 0	N/A
ISHARES TR	RUS 2000 GRW ETF	464287648	38	37500 SH	SOLE	37500 0 0	Put
ISHARES TR	RUS 2000 VAL ETF	464287630	22451	208808 SH	SOLE	208808 0 0	N/A
ISHARES TR	RUS MD CP GR ETF	464287481	7726	68008 SH	SOLE	68008 0 0	N/A
ISHARES TR	RUS MDCP VAL ETF	464287473	11486	150436 SH	SOLE	150436 0 0	N/A
ISHARES TR	RUS MID CAP ETF	464287499	20007	430289 SH	SOLE	430289 0 0	N/A
ISHARES TR	RUS TOP 200 ETF	464289446	15189	260119 SH	SOLE	260119 0 0	N/A
ISHARES TR	RUS TP200 GR ETF	464289438	1108	15378 SH	SOLE	15378 0 0	N/A
ISHARES TR	RUS TP200 VL ETF	464289420	979	20567 SH	SOLE	20567 0 0	N/A
ISHARES TR	RUSSELL 2000 ETF	464287655	57182	427224 SH	SOLE	427224 0 0	N/A
ISHARES TR	RUSSELL 2000 ETF	464287655	84	84000 SH	SOLE	84000 0 0	Put
ISHARES TR	RUSSELL 3000 ETF	464287689	12048	82030 SH	SOLE	82030 0 0	N/A
ISHARES TR	S&P 100 ETF	464287101	2387	21381 SH	SOLE	21381 0 0	N/A
ISHARES TR	S&P 500 GRWT ETF	464287309	24903	165187 SH	SOLE	165187 0 0	N/A
ISHARES TR	S&P 500 VAL ETF	464287408	18116	179211 SH	SOLE	179211 0 0	N/A
ISHARES TR	S&P MC 400GR ETF	464287606	7235	37776 SH	SOLE	37776 0 0	N/A
ISHARES TR	S&P MC 400VL ETF	464287705	11041	79679 SH	SOLE	79679 0 0	N/A
ISHARES TR	S&P SML 600 GWT	464287887	4592	28448 SH	SOLE	28448 0 0	N/A
ISHARES TR	S&P US PFD STK	464288687	9884	288692 SH	SOLE	288692 0 0	N/A
ISHARES TR	SELECT DIVID ETF	464287168	17308	193828 SH	SOLE	193828 0 0	N/A
ISHARES TR	SH TR CRPORT ETF	464288646	5786	112221 SH	SOLE	112221 0 0	N/A
ISHARES TR	SHORT TREAS BD	464288679	6741	61051 SH	SOLE	61051 0 0	N/A
ISHARES TR	SHRT NAT MUN ETF	464288158	1257	11929 SH	SOLE	11929 0 0	N/A
ISHARES TR	SP SMCP600VL ETF	464287879	2723	20668 SH	SOLE	20668 0 0	N/A
ISHARES TR	TIPS BD ETF	464287176	7574	69133 SH	SOLE	69133 0 0	N/A
ISHARES TR	U.S. BAS MTL ETF	464287838	1437	17125 SH	SOLE	17125 0 0	N/A
ISHARES TR	U.S. CNSM SV ETF	464287580	284	1572 SH	SOLE	1572 0 0	N/A
ISHARES TR	U.S. FIN SVC ETF	464287770	434	3865 SH	SOLE	3865 0 0	N/A
ISHARES TR	U.S. FINLS ETF	464287788	4878	45858 SH	SOLE	45858 0 0	N/A
ISHARES TR	U.S. MED DVC ETF	464288810	1356	6772 SH	SOLE	6772 0 0	N/A
ISHARES TR	U.S. REAL ES ETF	464287739	4523	60477 SH	SOLE	60477 0 0	N/A
ISHARES TR	U.S. TECH ETF	464287721	6534	40834 SH	SOLE	40834 0 0	N/A
ISHARES TR	ULTR SH TRM BD	46434V878	10765	214981 SH	SOLE	214981 0 0	N/A
ISHARES TR	US AER DEF ETF	464288760	7780	45030 SH	SOLE	45030 0 0	N/A
ISHARES TR	US AER DEF ETF	464288760	0	300 SH	SOLE	300 0 0	Put
ISHARES TR	US HLTHCARE ETF	464287762	489	2703 SH	SOLE	2703 0 0	N/A
ISHARES TR	US HLTHCR PR ETF	464288828	1002	6074 SH	SOLE	6074 0 0	N/A
ISHARES TR	US HOME CONS ETF	464288752	261	8609 SH	SOLE	8609 0 0	N/A
ISHARES TR	US INDUSTRIALS	464287754	1754	13646 SH	SOLE	13646 0 0	N/A
ISHARES TR	US REGNL BKS ETF	464288778	1045	26130 SH	SOLE	26130 0 0	N/A
ISHARES TR	US TREAS BD ETF	46429B267	1263	51504 SH	SOLE	51504 0 0	N/A
ISHARES TR	USA MOMENTUM FCT	46432F396	15240	151986 SH	SOLE	151986 0 0	N/A
ISHARES TR	USA QUALITY FCTR	46432F339	8090	105403 SH	SOLE	105403 0 0	N/A
ISHARES US ETF TR	COMMOD SEL STG	46431W853	1274	41685 SH	SOLE	41685 0 0	N/A
ISHARES US ETF TR	SHT MAT BD ETF	46431W507	8743	175608 SH	SOLE	175608 0 0	N/A
ITAU UNIBANCO HLDG SA	SPON ADR REP PFD	465562106	186	20218 SH	SOLE	20218 0 0	N/A
JABIL INC	COM	466313103	225	9020 SH	SOLE	9020 0 0	N/A
JACOBS ENGR GROUP INC DEL	COM	469814107	234	3958 SH	SOLE	3958 0 0	N/A
JAZZ PHARMACEUTICALS PLC	SHS USD	G50871105	1781	14599 SH	SOLE	14599 0 0	N/A
JBG SMITH PPTYS	COM	46590V100	410	11763 SH	SOLE	11763 0 0	N/A
JD COM INC	SPON ADR CL A	47215P106	658	31455 SH	SOLE	31455 0 0	N/A
JD COM INC	SPON ADR CL A	47215P106	1	200 SH	SOLE	200 0 0	Call
JEFFERIES FINL GROUP INC	COM	47233W109	569	32888 SH	SOLE	32888 0 0	N/A
JETBLUE AIRWAYS CORP	COM	477143101	342	21513 SH	SOLE	21513 0 0	N/A
JOHN HANCOCK EXCHANGE TRADED	MULTIFACTOR HE	47804J503	732	23071 SH	SOLE	23071 0 0	N/A
JOHNSON & JOHNSON	COM	478160104	171	51900 SH	SOLE	51900 0 0	Put
JOHNSON & JOHNSON	COM	478160104	193156	1496449 SH	SOLE	1496449 0 0	N/A
JOHNSON CTLS INTL PLC	SHS	G51502105	1281	43228 SH	SOLE	43228 0 0	N/A
JOINT CORP	COM	47973J102	3261	391800 SH	SOLE	391800 0 0	N/A
JONES LANG LASALLE INC	COM	48020Q107	1597	12604 SH	SOLE	12604 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	BETBULD JAPAN	46641Q712	573	27150 SH	SOLE	27150 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	DIV RTN EM EQT	46641Q308	3622	71332 SH	SOLE	71332 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	DIV RTN EU ETF	46641Q605	239	4816 SH	SOLE	4816 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	DIV RTN GLB EQ	46641Q100	349	6421 SH	SOLE	6421 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	DIV RTN INT EQ	46641Q209	2358	46313 SH	SOLE	46313 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	DIVERSFD EQT ETF	46641Q845	521	19379 SH	SOLE	19379 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	DIVERSIFIED ET	46641Q803	1110	46533 SH	SOLE	46533 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	GLOBAL BD OPRT	46641Q852	4356	92071 SH	SOLE	92071 0 0	N/A
JP MORGAN EXCHANGE TRADED FD	ULTRA SHRT INC	46641Q837	3885	77466 SH	SOLE	77466 0 0	N/A
JPMORGAN CHASE & CO	ALERIAN ML ETN	46625H365	14543	651750 SH	SOLE	651750 0 0	N/A
JPMORGAN CHASE & CO	COM	46625H100	117864	1206187 SH	SOLE	1206187 0 0	N/A
JPMORGAN CHASE & CO	COM	46625H100	2	1000 SH	SOLE	1000 0 0	Put
JUNIPER NETWORKS INC	COM	48203R104	493	18377 SH	SOLE	18377 0 0	N/A
JUNIPER NETWORKS INC	COM	48203R104	14	2500 SH	SOLE	2500 0 0	Call
KAMAN CORP	COM	483548103	314	5596 SH	SOLE	5596 0 0	N/A
KANSAS CITY SOUTHERN	COM NEW	485170302	2334	24466 SH	SOLE	24466 0 0	N/A
KAYNE ANDERSN MLP MIDS INVT	COM	486606106	492	35584 SH	SOLE	35584 0 0	N/A
KAYNE ANDERSON MDSTM ENERGY	COM	48661E108	1274	132369 SH	SOLE	132369 0 0	N/A
KCAP FINL INC	COM	48668E101	51	15025 SH	SOLE	15025 0 0	N/A
KELLOGG CO	COM	487836108	746	13082 SH	SOLE	13082 0 0	N/A
KEMPER CORP DEL	COM	488401100	5051	76126 SH	SOLE	76126 0 0	N/A
KEMPHARM INC	COM	488445107	18	10250 SH	SOLE	10250 0 0	N/A
KEYCORP NEW	COM	493267108	1255	84743 SH	SOLE	84743 0 0	N/A
KEYSIGHT TECHNOLOGIES INC	COM	49338L103	771	12547 SH	SOLE	12547 0 0	N/A
KIMBERLY CLARK CORP	COM	494368103	26464	232097 SH	SOLE	232097 0 0	N/A
KIMCO RLTY CORP	COM	49446R109	3174	216313 SH	SOLE	216313 0 0	N/A
KINDER MORGAN INC DEL	COM	49456B101	18355	1193998 SH	SOLE	1193998 0 0	N/A
KINROSS GOLD CORP	COM NO PAR	496902404	75	23261 SH	SOLE	23261 0 0	N/A
KIRBY CORP	COM	497266106	1261	18748 SH	SOLE	18748 0 0	N/A
KKR & CO INC	CL A	48251W104	954	48513 SH	SOLE	48513 0 0	N/A
KLA-TENCOR CORP	COM	482480100	2673	29863 SH	SOLE	29863 0 0	N/A
KNIGHT SWIFT TRANSN HLDGS IN	CL A	499049104	9	8100 SH	SOLE	8100 0 0	Put
KNIGHT SWIFT TRANSN HLDGS IN	CL A	499049104	689	27692 SH	SOLE	27692 0 0	N/A
KOHLS CORP	COM	500255104	2085	31551 SH	SOLE	31551 0 0	N/A
KONINKLIJKE PHILIPS N V	NY REG SH NEW	500472303	1188	34271 SH	SOLE	34271 0 0	N/A
KRAFT HEINZ CO	COM	500754106	8017	186017 SH	SOLE	186017 0 0	N/A
KRANESHARES TR	CSI CHI INTERNET	500767306	1377	36710 SH	SOLE	36710 0 0	N/A
KRATOS DEFENSE & SEC SOLUTIO	COM NEW	50077B207	623	44185 SH	SOLE	44185 0 0	N/A
KROGER CO	COM	501044101	7354	267130 SH	SOLE	267130 0 0	N/A
L BRANDS INC	COM	501797104	452	17828 SH	SOLE	17828 0 0	N/A
L3 TECHNOLOGIES INC	COM	502413107	5035	29079 SH	SOLE	29079 0 0	N/A
LABORATORY CORP AMER HLDGS	COM NEW	50540R409	904	7131 SH	SOLE	7131 0 0	N/A
LADDER CAP CORP	CL A	505743104	488	31627 SH	SOLE	31627 0 0	N/A
LAM RESEARCH CORP	COM	512807108	1036	7625 SH	SOLE	7625 0 0	N/A
LAMAR ADVERTISING CO NEW	CL A	512816109	201	2876 SH	SOLE	2876 0 0	N/A
LAMB WESTON HLDGS INC	COM	513272104	5351	72686 SH	SOLE	72686 0 0	N/A
LANDMARK INFRASTRUCTURE LP	COM UNIT LTD	51508J108	423	36740 SH	SOLE	36740 0 0	N/A
LANDSTAR SYS INC	COM	515098101	47	34500 SH	SOLE	34500 0 0	Call
LANDSTAR SYS INC	COM	515098101	513	5349 SH	SOLE	5349 0 0	N/A
LANTRONIX INC	COM NEW	516548203	32	10850 SH	SOLE	10850 0 0	N/A
LAS VEGAS SANDS CORP	COM	517834107	0	4600 SH	SOLE	4600 0 0	Call
LAS VEGAS SANDS CORP	COM	517834107	900	17272 SH	SOLE	17272 0 0	N/A
LATTICE STRATEGIES TR	HARTFORD MLT ETF	518416102	1225	47476 SH	SOLE	47476 0 0	N/A
LATTICE STRATEGIES TR	HARTFORD US EQTY	518416409	271	9741 SH	SOLE	9741 0 0	N/A
LATTICE STRATEGIES TR	HARTFRD EMRG ETF	518416201	259	11684 SH	SOLE	11684 0 0	N/A
LAUDER ESTEE COS INC	CL A	518439104	3428	26353 SH	SOLE	26353 0 0	N/A
LEAR CORP	COM NEW	521865204	332	2705 SH	SOLE	2705 0 0	N/A
LEGACY RESVS INC	COM	524706108	129	83411 SH	SOLE	83411 0 0	N/A
LEGG MASON INC	COM	524901105	1677	65769 SH	SOLE	65769 0 0	N/A
LEIDOS HLDGS INC	COM	525327102	3593	68192 SH	SOLE	68192 0 0	N/A
LENNAR CORP	CL A	526057104	834	21268 SH	SOLE	21268 0 0	N/A
LENNOX INTL INC	COM	526107107	1037	4711 SH	SOLE	4711 0 0	N/A
LEXINGTON REALTY TRUST	COM	529043101	528	64169 SH	SOLE	64169 0 0	N/A
LIBBEY INC	COM	529898108	40	10456 SH	SOLE	10456 0 0	N/A
LIBERTY ALL STAR EQUITY FD	SH BEN INT	530158104	82	15233 SH	SOLE	15233 0 0	N/A
LIBERTY BROADBAND CORP	COM SER C	530307305	548	7755 SH	SOLE	7755 0 0	N/A
LIBERTY GLOBAL PLC	SHS CL A	G5480U104	5235	245565 SH	SOLE	245565 0 0	N/A
LIBERTY MEDIA CORP DELAWARE	COM A SIRIUSXM	531229409	230	6423 SH	SOLE	6423 0 0	N/A
LIBERTY MEDIA CORP DELAWARE	COM C SIRIUSXM	531229607	567	15358 SH	SOLE	15358 0 0	N/A
LIFE STORAGE INC	COM	53223X107	275	2947 SH	SOLE	2947 0 0	N/A
LILLY ELI & CO	COM	532457108	47133	406972 SH	SOLE	406972 0 0	N/A
LIMELIGHT NETWORKS INC	COM	53261M104	75	32155 SH	SOLE	32155 0 0	N/A
LINCOLN NATL CORP IND	COM	534187109	1082	21131 SH	SOLE	21131 0 0	N/A
LINDE PLC	COM	G5494J103	3790	24312 SH	SOLE	24312 0 0	N/A
LIONS GATE ENTMNT CORP	CL B NON VTG	535919500	193	13758 SH	SOLE	13758 0 0	N/A
LIQTECH INTL INC	COM	53632A102	14	10000 SH	SOLE	10000 0 0	N/A
LITTELFUSE INC	COM	537008104	514	3016 SH	SOLE	3016 0 0	N/A
LIVE NATION ENTERTAINMENT IN	COM	538034109	548	11255 SH	SOLE	11255 0 0	N/A
LIVE NATION ENTERTAINMENT IN	COM	538034109	2	2500 SH	SOLE	2500 0 0	Call
LIVE OAK BANCSHARES INC	COM	53803X105	4064	274446 SH	SOLE	274446 0 0	N/A
LLOYDS BANKING GROUP PLC	SPONSORED ADR	539439109	164	63325 SH	SOLE	63325 0 0	N/A
LOCKHEED MARTIN CORP	COM	539830109	34285	130990 SH	SOLE	130990 0 0	N/A
LOEWS CORP	COM	540424108	1381	30217 SH	SOLE	30217 0 0	N/A
LOGMEIN INC	COM	54142L109	2496	30613 SH	SOLE	30613 0 0	N/A
LOWES COS INC	COM	548661107	16519	178961 SH	SOLE	178961 0 0	N/A
LULULEMON ATHLETICA INC	COM	550021109	2709	22406 SH	SOLE	22406 0 0	N/A
LUMENTUM HLDGS INC	COM	55024U109	1351	32350 SH	SOLE	32350 0 0	N/A
LYONDELLBASELL INDUSTRIES N	SHS - A -	N53745100	16535	198933 SH	SOLE	198933 0 0	N/A
M & T BK CORP	COM	55261F104	942	6593 SH	SOLE	6593 0 0	N/A
MACQUARIE INFRASTRUCTURE COR	COM	55608B105	3573	97525 SH	SOLE	97525 0 0	N/A
MACYS INC	COM	55616P104	217	7386 SH	SOLE	7386 0 0	N/A
MADISON SQUARE GARDEN CO NEW	CL A	55825T103	1736	6483 SH	SOLE	6483 0 0	N/A
MAGELLAN MIDSTREAM PRTNRS LP	COM UNIT RP LP	559080106	41124	720825 SH	SOLE	720825 0 0	N/A
MAGNA INTL INC	COM	559222401	4765	105230 SH	SOLE	105230 0 0	N/A
MAIN STREET CAPITAL CORP	COM	56035L104	4998	148359 SH	SOLE	148359 0 0	N/A
MAKEMYTRIP LIMITED MAURITIUS	SHS	V5633W109	2313	94749 SH	SOLE	94749 0 0	N/A
MANPOWERGROUP INC	COM	56418H100	1630	25155 SH	SOLE	25155 0 0	N/A
MANULIFE FINL CORP	COM	56501R106	475	33379 SH	SOLE	33379 0 0	N/A
MARATHON OIL CORP	COM	565849106	697	49413 SH	SOLE	49413 0 0	N/A
MARATHON PETE CORP	COM	56585A102	20874	353487 SH	SOLE	353487 0 0	N/A
MARCHEX INC	CL B	56624R108	45	17000 SH	SOLE	17000 0 0	N/A
MARKEL CORP	COM	570535104	596	578 SH	SOLE	578 0 0	N/A
MARKETAXESS HLDGS INC	COM	57060D108	989	4676 SH	SOLE	4676 0 0	N/A
MARRIOTT INTL INC NEW	CL A	571903202	4776	43950 SH	SOLE	43950 0 0	N/A
MARRIOTT VACATIONS WRLDWDE C	COM	57164Y107	205	2955 SH	SOLE	2955 0 0	N/A
MARSH & MCLENNAN COS INC	COM	571748102	19047	238414 SH	SOLE	238414 0 0	N/A
MARTIN MARIETTA MATLS INC	COM	573284106	741	4319 SH	SOLE	4319 0 0	N/A
MASCO CORP	COM	574599106	1770	60506 SH	SOLE	60506 0 0	N/A
MASTERCARD INCORPORATED	CL A	57636Q104	26184	138592 SH	SOLE	138592 0 0	N/A
MATCH GROUP INC	COM	57665R106	2989	70143 SH	SOLE	70143 0 0	N/A
MATCH GROUP INC	COM	57665R106	143	34000 SH	SOLE	34000 0 0	Call
MATTEL INC	COM	577081102	182	18255 SH	SOLE	18255 0 0	N/A
MAXIM INTEGRATED PRODS INC	COM	57772K101	10416	204563 SH	SOLE	204563 0 0	N/A
MAXLINEAR INC	COM	57776J100	17074	970020 SH	SOLE	970020 0 0	N/A
MBIA INC	COM	55262C100	331	37084 SH	SOLE	37084 0 0	N/A
MCCORMICK & CO INC	COM NON VTG	579780206	4948	35543 SH	SOLE	35543 0 0	N/A
MCDONALDS CORP	COM	580135101	150515	847489 SH	SOLE	847489 0 0	N/A
MCEWEN MNG INC	COM	58039P107	25	13734 SH	SOLE	13734 0 0	N/A
MCKESSON CORP	COM	58155Q103	2948	26669 SH	SOLE	26669 0 0	N/A
MDC PARTNERS INC	CL A SUB VTG	552697104	33	12678 SH	SOLE	12678 0 0	N/A
MEDICAL PPTYS TRUST INC	COM	58463J304	782	48721 SH	SOLE	48721 0 0	N/A
MEDIDATA SOLUTIONS INC	COM	58471A105	948	14159 SH	SOLE	14159 0 0	N/A
MEDIFAST INC	COM	58470H101	274	2186 SH	SOLE	2186 0 0	N/A
MEDTRONIC PLC	SHS	G5960L103	24483	269231 SH	SOLE	269231 0 0	N/A
MERCK & CO INC	COM	58933Y105	135464	1772638 SH	SOLE	1772638 0 0	N/A
MERCURY SYS INC	COM	589378108	221	4705 SH	SOLE	4705 0 0	N/A
MERRIMACK PHARMACEUTICALS IN	COM NEW	590328209	58	15050 SH	SOLE	15050 0 0	N/A
MESA AIR GROUP INC	COM NEW	590479135	823	106437 SH	SOLE	106437 0 0	N/A
METLIFE INC	COM	59156R108	11116	270676 SH	SOLE	270676 0 0	N/A
METTLER TOLEDO INTERNATIONAL	COM	592688105	1825	3229 SH	SOLE	3229 0 0	N/A
MFS CHARTER INCOME TR	SH BEN INT	552727109	937	127863 SH	SOLE	127863 0 0	N/A
MFS INTER INCOME TR	SH BEN INT	55273C107	52	13900 SH	SOLE	13900 0 0	N/A
MFS MULTIMARKET INCOME TR	SH BEN INT	552737108	2825	552394 SH	SOLE	552394 0 0	N/A
MGM GROWTH PPTYS LLC	CL A COM	55303A105	202	7638 SH	SOLE	7638 0 0	N/A
MGM RESORTS INTERNATIONAL	COM	552953101	1	2000 SH	SOLE	2000 0 0	Call
MGM RESORTS INTERNATIONAL	COM	552953101	1216	50183 SH	SOLE	50183 0 0	N/A
MICROCHIP TECHNOLOGY INC	COM	595017104	2886	40076 SH	SOLE	40076 0 0	N/A
MICRON TECHNOLOGY INC	COM	595112103	8287	261670 SH	SOLE	261670 0 0	N/A
MICRON TECHNOLOGY INC	COM	595112103	5	2000 SH	SOLE	2000 0 0	Call
MICROSOFT CORP	COM	594918104	276594	2723903 SH	SOLE	2723903 0 0	N/A
MICROSOFT CORP	COM	594918104	96	92500 SH	SOLE	92500 0 0	Put
MID AMER APT CMNTYS INC	COM	59522J103	258	2706 SH	SOLE	2706 0 0	N/A
MIDDLEBY CORP	COM	596278101	576	5487 SH	SOLE	5487 0 0	N/A
MILESTONE SCIENTIFIC INC	COM NEW	59935P209	5	15666 SH	SOLE	15666 0 0	N/A
MILLER HOWARD HIGH INC EQTY	COM SHS BEN IN	600379101	3322	348446 SH	SOLE	348446 0 0	N/A
MIRAGEN THERAPEUTICS INC	COM	60463E103	42	13731 SH	SOLE	13731 0 0	N/A
MITEK SYS INC	COM NEW	606710200	289	26908 SH	SOLE	26908 0 0	N/A
MITSUBISHI UFJ FINL GROUP IN	SPONSORED ADS	606822104	181	37280 SH	SOLE	37280 0 0	N/A
MIZUHO FINL GROUP INC	SPONSORED ADR	60687Y109	32	10615 SH	SOLE	10615 0 0	N/A
MOELIS & CO	CL A	60786M105	2417	70799 SH	SOLE	70799 0 0	N/A
MOLSON COORS BREWING CO	CL B	60871R209	620	11061 SH	SOLE	11061 0 0	N/A
MONDELEZ INTL INC	CL A	609207105	26417	660869 SH	SOLE	660869 0 0	N/A
MONOLITHIC PWR SYS INC	COM	609839105	863	7458 SH	SOLE	7458 0 0	N/A
MONSTER BEVERAGE CORP NEW	COM	61174X109	910	18496 SH	SOLE	18496 0 0	N/A
MOODYS CORP	COM	615369105	779	5582 SH	SOLE	5582 0 0	N/A
MOOG INC	CL A	615394202	227	2967 SH	SOLE	2967 0 0	N/A
MORGAN STANLEY	COM NEW	617446448	9274	233747 SH	SOLE	233747 0 0	N/A
MORGAN STANLEY	COM NEW	617446448	1	4000 SH	SOLE	4000 0 0	Call
MORGAN STANLEY CHINA A SH FD	COM	617468103	351	19155 SH	SOLE	19155 0 0	N/A
MOSAIC CO NEW	COM	61945C103	1400	47843 SH	SOLE	47843 0 0	N/A
MOTOROLA SOLUTIONS INC	COM NEW	620076307	1321	11494 SH	SOLE	11494 0 0	N/A
MPLX LP	COM UNIT REP LTD	55336V100	9980	329565 SH	SOLE	329565 0 0	N/A
MSCI INC	COM	55354G100	232	1572 SH	SOLE	1572 0 0	N/A
MSG NETWORK INC	CL A	553573106	481	20455 SH	SOLE	20455 0 0	N/A
MUELLER WTR PRODS INC	COM SER A	624758108	122	13486 SH	SOLE	13486 0 0	N/A
MURPHY USA INC	COM	626755102	18608	242771 SH	SOLE	242771 0 0	N/A
MYLAN N V	SHS EURO	N59465109	930	33935 SH	SOLE	33935 0 0	N/A
NABORS INDUSTRIES LTD	SHS	G6359F103	93	46640 SH	SOLE	46640 0 0	N/A
NANOVIRICIDES INC	COM NEW	630087203	4	21429 SH	SOLE	21429 0 0	N/A
NAPCO SEC TECHNOLOGIES INC	COM	630402105	914	58000 SH	SOLE	58000 0 0	N/A
NATIONAL FUEL GAS CO N J	COM	636180101	882	17213 SH	SOLE	17213 0 0	N/A
NATIONAL GRID PLC	SPONSORED ADR NE	636274409	385	8077 SH	SOLE	8077 0 0	N/A
NATIONAL INSTRS CORP	COM	636518102	384	8563 SH	SOLE	8563 0 0	N/A
NATIONAL OILWELL VARCO INC	COM	637071101	1998	77644 SH	SOLE	77644 0 0	N/A
NATIONAL RETAIL PPTYS INC	COM	637417106	240	4978 SH	SOLE	4978 0 0	N/A
NAVIDEA BIOPHARMACEUTICALS I	COM	63937X103	4	46440 SH	SOLE	46440 0 0	N/A
NAVIGATOR HOLDINGS LTD	SHS	Y62132108	1641	174417 SH	SOLE	174417 0 0	N/A
NEKTAR THERAPEUTICS	COM	640268108	700	21315 SH	SOLE	21315 0 0	N/A
NEKTAR THERAPEUTICS	COM	640268108	16	1200 SH	SOLE	1200 0 0	Call
NEOGEN CORP	COM	640491106	264	4719 SH	SOLE	4719 0 0	N/A
NEOGENOMICS INC	COM NEW	64049M209	2766	219366 SH	SOLE	219366 0 0	N/A
NETAPP INC	COM	64110D104	605	10082 SH	SOLE	10082 0 0	N/A
NETFLIX INC	COM	64110L106	12099	45231 SH	SOLE	45231 0 0	N/A
NETFLIX INC	COM	64110L106	4	1000 SH	SOLE	1000 0 0	Call
NETFLIX INC	COM	64110L106	1	1000 SH	SOLE	1000 0 0	Put
NEUBERGER BERMAN HGH YLD FD	COM	64128C106	370	38247 SH	SOLE	38247 0 0	N/A
NEUBERGER BERMAN MLP INCOME	COM	64129H104	111	16386 SH	SOLE	16386 0 0	N/A
NEUBERGER BRMAN NY MUNI FD I	COM	64124K102	177	15988 SH	SOLE	15988 0 0	N/A
NEUROCRINE BIOSCIENCES INC	COM	64125C109	293	4106 SH	SOLE	4106 0 0	N/A
NEW AGE BEVERAGES CORP	COM	64157V108	152	29168 SH	SOLE	29168 0 0	N/A
NEW MTN FIN CORP	COM	647551100	550	43619 SH	SOLE	43619 0 0	N/A
NEW RESIDENTIAL INVT CORP	COM NEW	64828T201	1002	70283 SH	SOLE	70283 0 0	N/A
NEW YORK CMNTY BANCORP INC	COM	649445103	266	28020 SH	SOLE	28020 0 0	N/A
NEWELL BRANDS INC	COM	651229106	455	24522 SH	SOLE	24522 0 0	N/A
NEWMARKET CORP	COM	651587107	450	1089 SH	SOLE	1089 0 0	N/A
NEWMONT MINING CORP	COM	651639106	536	15567 SH	SOLE	15567 0 0	N/A
NEWTEK BUSINESS SVCS CORP	COM NEW	652526203	210	12063 SH	SOLE	12063 0 0	N/A
NEXEO SOLUTIONS INC	COM SHS	65342H102	217	25280 SH	SOLE	25280 0 0	N/A
NEXSTAR MEDIA GROUP INC	CL A	65336K103	9222	117164 SH	SOLE	117164 0 0	N/A
NEXTERA ENERGY INC	COM	65339F101	29098	167416 SH	SOLE	167416 0 0	N/A
NEXTERA ENERGY PARTNERS LP	COM UNIT PART IN	65341B106	2752	63951 SH	SOLE	63951 0 0	N/A
NGL ENERGY PARTNERS LP	COM UNIT REPST	62913M107	881	91273 SH	SOLE	91273 0 0	N/A
NICE LTD	SPONSORED ADR	653656108	1679	16087 SH	SOLE	16087 0 0	N/A
NIKE INC	CL B	654106103	32438	438095 SH	SOLE	438095 0 0	N/A
NIKE INC	CL B	654106103	65	14600 SH	SOLE	14600 0 0	Call
NIKE INC	CL B	654106103	84	54500 SH	SOLE	54500 0 0	Put
NISOURCE INC	COM	65473P105	697	27547 SH	SOLE	27547 0 0	N/A
NOBLE MIDSTREAM PARTNERS LP	COM UNIT REPST	65506L105	369	12848 SH	SOLE	12848 0 0	N/A
NOKIA CORP	SPONSORED ADR	654902204	1185	203456 SH	SOLE	203456 0 0	N/A
NOODLES & CO	COM CL A	65540B105	111	15890 SH	SOLE	15890 0 0	N/A
NORDIC AMERN OFFSHORE LTD	SHS	G65772108	6	15071 SH	SOLE	15071 0 0	N/A
NORDSON CORP	COM	655663102	2120	17693 SH	SOLE	17693 0 0	N/A
NORDSTROM INC	COM	655664100	1756	37691 SH	SOLE	37691 0 0	N/A
NORFOLK SOUTHERN CORP	COM	655844108	12526	83876 SH	SOLE	83876 0 0	N/A
NORTHERN TR CORP	COM	665859104	1220	14622 SH	SOLE	14622 0 0	N/A
NORTHROP GRUMMAN CORP	COM	666807102	9996	40903 SH	SOLE	40903 0 0	N/A
NORTHSTAR REALTY EUROPE CORP	COM	66706L101	173	11810 SH	SOLE	11810 0 0	N/A
NOVAGOLD RES INC	COM NEW	66987E206	92	23238 SH	SOLE	23238 0 0	N/A
NOVAGOLD RES INC	COM NEW	66987E206	0	2000 SH	SOLE	2000 0 0	Call
NOVARTIS A G	SPONSORED ADR	66987V109	16799	195742 SH	SOLE	195742 0 0	N/A
NOVAVAX INC	COM	670002104	87	47185 SH	SOLE	47185 0 0	N/A
NOVOCURE LTD	ORD SHS	G6674U108	262	7835 SH	SOLE	7835 0 0	N/A
NOVOCURE LTD	ORD SHS	G6674U108	1	100 SH	SOLE	100 0 0	Call
